Date,KO,PEP
2021-02-23,44.123207092285156,116.04209899902344
2021-02-24,44.27162170410156,115.43904876708984
2021-02-25,43.8001823425293,113.612548828125
2021-02-26,42.77000427246094,112.9046401977539
2021-03-01,43.5644645690918,114.15438842773438
2021-03-02,43.73906707763672,114.54766845703125
2021-03-03,43.634307861328125,112.8609390258789
2021-03-04,43.5993766784668,113.48904418945312
2021-03-05,44.341468811035156,117.18891906738281
2021-03-08,45.08353805541992,116.39608764648438
2021-03-09,44.402584075927734,116.5018081665039
2021-03-10,44.908939361572266,117.67340087890625
2021-03-11,44.420047760009766,117.35628509521484
2021-03-12,44.33200454711914,117.19771575927734
2021-03-15,44.92181396484375,117.18891906738281
2021-03-16,45.08906936645508,118.05223083496094
2021-03-17,45.1066780090332,117.7086410522461
2021-03-18,44.516868591308594,116.74845123291016
2021-03-19,44.72814178466797,118.48387145996094
2021-03-22,44.895408630371094,121.39091491699219
2021-03-23,45.23871994018555,122.85321044921875
2021-03-24,45.3531608581543,122.28060913085938
2021-03-25,45.793312072753906,123.00300598144531
2021-03-26,46.69121551513672,125.70738220214844
2021-03-29,47.40425109863281,127.56617736816406
2021-03-30,46.78805160522461,125.56646728515625
2021-03-31,46.400718688964844,124.60627746582031
2021-04-01,46.22465515136719,124.4565200805664
2021-04-05,46.48874282836914,126.11263275146484
2021-04-06,46.823265075683594,126.56192779541016
2021-04-07,46.902488708496094,126.33289337158203
2021-04-08,46.76163864135742,125.56646728515625
2021-04-09,46.814456939697266,125.59292602539062
2021-04-12,46.964107513427734,125.98932647705078
2021-04-13,46.735233306884766,126.0157699584961
2021-04-14,46.72643280029297,125.18766784667969
2021-04-15,46.94651412963867,125.36385345458984
2021-04-16,47.25461196899414,126.99359893798828
2021-04-19,47.53630065917969,127.51332092285156
2021-04-20,47.68596267700195,128.35899353027344
2021-04-21,48.07329177856445,129.47776794433594
2021-04-22,47.923648834228516,128.67611694335938
2021-04-23,47.950050354003906,128.46469116210938
2021-04-26,47.23701095581055,126.28882598876953
2021-04-27,47.16658020019531,125.87480926513672
2021-04-28,47.175384521484375,124.94102478027344
2021-04-29,47.76518630981445,126.79975128173828
2021-04-30,47.51870346069336,126.99359893798828
2021-05-03,47.95885467529297,128.42947387695312
